episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-12816.130600533581,-0.36575715184171176,200798912.87879044,5730.562582157261,-12816.130600533581,-0.36575715184171176,-20079.891287879047,-0.5730562582157263,38.45319634703196,35040,31536000
1,-12480.270743223486,-0.3561721102518118,202754538.81518707,5786.373824634334,-12480.270743223486,-0.3561721102518118,-20275.453881518708,-0.5786373824634334,38.11929223744292,35040,31536000
2,-12229.483349447948,-0.34901493577191633,203753455.64139113,5814.881724925546,-12229.483349447948,-0.34901493577191633,-20375.345564139116,-0.5814881724925547,37.55993150684932,35040,31536000
3,-11888.272734030048,-0.3392771898981178,205697625.1616461,5870.36601488716,-11888.272734030048,-0.3392771898981178,-20569.76251616461,-0.5870366014887161,37.40582191780822,35040,31536000
4,-11587.749856826716,-0.3307006237678857,206230675.86159623,5885.578649018157,-11587.749856826716,-0.3307006237678857,-20623.06758615962,-0.5885578649018157,37.308789954337904,35040,31536000
5,-11363.377250736161,-0.32429729596849777,207391376.46575624,5918.703666260167,-11363.377250736161,-0.32429729596849777,-20739.13764657563,-0.5918703666260168,36.96347031963471,35040,31536000
6,-11203.895117482065,-0.3197458652249448,208986686.4564417,5964.231919418999,-11203.895117482065,-0.3197458652249448,-20898.66864564417,-0.5964231919418999,36.82933789954338,35040,31536000
7,-10855.763119892103,-0.30981059132112165,211142927.6743371,6025.768483856652,-10855.763119892103,-0.30981059132112165,-21114.292767433708,-0.6025768483856652,36.12442922374429,35040,31536000
8,-10741.131048635265,-0.30653912810032147,211975944.31262887,6049.541789743975,-10741.131048635265,-0.30653912810032147,-21197.59443126289,-0.6049541789743975,36.10445205479452,35040,31536000
9,-10631.227371361176,-0.3034026076301705,214264904.25862348,6114.865989115967,-10631.227371361176,-0.3034026076301705,-21426.490425862346,-0.6114865989115966,36.11586757990868,35040,31536000
10,-10553.292497413704,-0.30117843885313084,216405154.13954446,6175.94617978152,-10553.292497413704,-0.30117843885313084,-21640.515413954447,-0.617594617978152,35.95034246575343,35040,31536000
11,-10412.379207581818,-0.2971569408556455,218455447.32235843,6234.459113081006,-10412.379207581818,-0.2971569408556455,-21845.544732235838,-0.6234459113081003,35.58219178082192,35040,31536000
12,-10462.197980960893,-0.2985787095023086,219889565.3523045,6275.387139049785,-10462.197980960893,-0.2985787095023086,-21988.956535230453,-0.6275387139049786,35.83904109589041,35040,31536000
13,-10289.357919932121,-0.2936460593587934,221873813.9262847,6332.01523762228,-10289.357919932121,-0.2936460593587934,-22187.38139262847,-0.633201523762228,35.60787671232877,35040,31536000
14,-10083.03819699086,-0.2877579394118396,222891821.67522475,6361.067970183355,-10083.03819699086,-0.2877579394118396,-22289.18216752248,-0.6361067970183356,35.31678082191781,35040,31536000
15,-10206.805163399875,-0.2912901016952019,224839856.00671807,6416.662557269351,-10206.805163399875,-0.2912901016952019,-22483.985600671807,-0.6416662557269351,35.32819634703196,35040,31536000
16,-10086.377305807897,-0.28785323361323906,226972565.66274762,6477.527558868368,-10086.377305807897,-0.28785323361323906,-22697.256566274762,-0.6477527558868368,35.18835616438356,35040,31536000
17,-9994.620056043474,-0.2852345906405101,227617969.70419338,6495.946623978121,-9994.620056043474,-0.2852345906405101,-22761.796970419342,-0.6495946623978123,35.131278538812786,35040,31536000
18,-9977.797803126756,-0.2847545035138914,229924952.00331187,6561.7851599118685,-9977.797803126756,-0.2847545035138914,-22992.495200331192,-0.6561785159911869,35.09417808219178,35040,31536000
