episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-15089.389472546722,-0.4306332612028174,181375288.24644068,5176.235395160978,-12041.250120449373,-0.3436429828895369,-18137.52882464407,-0.5176235395160979,34.791666666666664,35040,31536000
1,-15048.588550051967,-0.4294688513142685,182248328.39512354,5201.150924518366,-11872.344260591582,-0.3388226101767004,-18224.832839512357,-0.5201150924518366,34.375,35040,31536000
2,-15062.846616782716,-0.42987575961137886,183904496.0965488,5248.415984490548,-11735.243623910552,-0.33490992077370296,-18390.44960965488,-0.5248415984490548,34.106735159817354,35040,31536000
3,-15122.174274728028,-0.43156890053447566,185228476.5880854,5286.200815870017,-11721.50089064751,-0.3345177194819495,-18522.84765880854,-0.5286200815870017,34.05251141552512,35040,31536000
4,-15173.13915726141,-0.4330233777757252,187342202.70585698,5346.524049824686,-11612.058043937122,-0.3313943505689818,-18734.220270585698,-0.5346524049824686,33.89840182648402,35040,31536000
5,-15146.530783632268,-0.4322640063821994,188329699.23734373,5374.706028463006,-11460.09164353016,-0.3270574099180982,-18832.969923734378,-0.5374706028463008,33.67865296803653,35040,31536000
6,-15260.287426530458,-0.4355104859169651,190057541.68691668,5424.016600654015,-11514.82068436925,-0.3286193117685288,-19005.75416869167,-0.5424016600654016,33.772831050228305,35040,31536000
7,-15327.685651881653,-0.43743395125233026,191739179.90977317,5472.008559068869,-11481.45331278599,-0.3276670465977737,-19173.91799097732,-0.5472008559068869,33.644406392694066,35040,31536000
8,-15343.688190961191,-0.4378906447192121,193366751.20033687,5518.457511425139,-11350.701261888697,-0.32393553829591026,-19336.675120033688,-0.5518457511425139,33.43892694063927,35040,31536000
9,-15393.140793421097,-0.43930196328256554,193973956.4887253,5535.786429472754,-11388.885937969664,-0.3250252836178557,-19397.395648872534,-0.5535786429472755,33.644406392694066,35040,31536000
10,-15445.83733340023,-0.44080585997146776,196390141.53566134,5604.741482182116,-11252.660513234321,-0.3211375717247238,-19639.01415356613,-0.5604741482182115,33.37614155251142,35040,31536000
11,-15506.782587751231,-0.4425451651755488,197535471.2923796,5637.427833686632,-11260.018046264498,-0.32134754698243434,-19753.547129237963,-0.5637427833686633,33.44748858447489,35040,31536000
12,-15548.452510123154,-0.4437343752889028,198314714.14660972,5659.666499617857,-11265.43360558534,-0.32150210061601997,-19831.47141466097,-0.5659666499617857,33.544520547945204,35040,31536000
13,-15609.997610250102,-0.44549079937928376,200016884.2221527,5708.244412732669,-11218.306798284928,-0.32015715748530044,-20001.688422215273,-0.5708244412732669,33.233447488584474,35040,31536000
14,-15696.68722187048,-0.4479648179757557,201545977.78473952,5751.882927646676,-11238.776665267009,-0.3207413431868439,-20154.59777847395,-0.5751882927646675,33.09646118721461,35040,31536000
15,-15753.605790117874,-0.4495892063389804,203357791.55487502,5803.589941634561,-11171.432424748244,-0.3188194185145047,-20335.779155487508,-0.5803589941634563,33.05650684931507,35040,31536000
16,-15844.878733810041,-0.45219402779138246,205142036.3786652,5854.5101706240075,-11175.553829753559,-0.3189370385203641,-20514.20363786652,-0.5854510170624008,33.022260273972606,35040,31536000
17,-15851.550145195226,-0.4523844219519185,206215942.69543222,5885.158181947267,-11081.50602084723,-0.31625302570911046,-20621.594269543224,-0.5885158181947268,33.164954337899545,35040,31536000
18,-15969.639677785153,-0.4557545570144165,207952453.5854264,5934.716141136598,-11144.033997027662,-0.318037499915173,-20795.24535854264,-0.5934716141136599,33.15068493150685,35040,31536000
